actual,proposed
0.0,0.524834394454956
0.0,0.5260202884674072
0.0,0.5268759727478027
0.0,0.5275033116340637
0.0,0.5187169313430786
0.0,0.512671709060669
0.0,0.5085193514823914
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5484347343444824
0.0,0.6054272055625916
0.0,0.6561050415039062
0.0,0.6912333965301514
0.0,0.7270597815513611
0.0,0.7519084215164185
0.0,0.7691627144813538
0.0,0.7696987390518188
0.0,0.7701245546340942
0.0,0.7592751383781433
0.0,0.7518166899681091
0.0,0.7466999292373657
0.0,0.7432045936584473
0.0,0.7520297169685364
0.0,0.7581831216812134
0.0,0.7739620804786682
0.0,0.7849318981170654
0.0,0.7811057567596436
0.0,0.789984941482544
0.0,0.807921826839447
0.0,0.8203875422477722
0.0,0.8533734083175659
0.0,0.8762561678886414
0.0,0.9047130942344666
0.0,0.9244688153266907
0.0,0.9256479144096375
0.0,0.9142372608184814
0.0,0.8943764567375183
0.0,0.8927112221717834
0.0,0.8916081786155701
0.0,0.8909006714820862
0.0,0.9153313040733337
0.0,0.9451315402984619
0.0,0.9404116868972778
0.0,0.9128822088241577
0.0,0.8938884735107422
0.0,0.8690285086631775
0.0,0.8403790593147278
0.0,0.8093722462654114
0.0,0.7921794056892395
0.0,0.7761464715003967
0.0,0.743445634841919
0.0,0.7208595871925354
0.0,0.6948412656784058
0.0,0.6568310260772705
0.0,0.6025186777114868
0.0,0.55615234375
0.0,0.5240866541862488
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
