actual,proposed
-0.6615298390388489,-0.617184579372406
-0.6655048131942749,-0.6319662928581238
-0.6694796681404114,-0.6431457996368408
-0.6726595163345337,-0.6519237756729126
-0.7731040120124817,-0.6588357090950012
-0.7712302803993225,-0.6969251036643982
-0.7748317718505859,-0.7216935157775879
-0.7793336510658264,-0.7394062876701355
-0.7829349040985107,-0.7527154088020325
-0.8587606549263,-0.7627885937690735
-0.8636736869812012,-0.7947792410850525
-0.8676038980484009,-0.8177440762519836
-0.8705514073371887,-0.8343639969825745
-0.8744814991950989,-0.8464264869689941
-0.8784113526344299,-0.855778157711029
-0.9930347204208374,-0.8633225560188293
-0.9974545240402222,-0.906559944152832
-0.9996643662452698,-0.9368581175804138
-1.002979040145874,-0.9577935338020325
-1.0051887035369873,-0.9728553295135498
-1.0633149147033691,-0.9836331605911255
-1.0633149147033691,-1.0101937055587769
-1.0644819736480713,-1.0279008150100708
-1.0691498517990112,-1.0400944948196411
-1.0714837312698364,-1.0497796535491943
-1.3484917879104614,-1.0570143461227417
-1.3470228910446167,-1.154173493385315
-1.3499605655670166,-1.2184566259384155
-1.3528982400894165,-1.2622913122177124
-1.3573042154312134,-1.2924935817718506
-1.5573174953460693,-1.3140971660614014
-1.5589995384216309,-1.3951705694198608
-1.562363624572754,-1.4497802257537842
-1.562363624572754,-1.4873080253601074
-1.562363624572754,-1.5123265981674194
-1.5640455484390259,-1.5290056467056274
-1.7891957759857178,-1.5406855344772339
-1.791113257408142,-1.6235222816467285
-1.7930307388305664,-1.679386019706726
-1.7987827062606812,-1.717267632484436
-1.8006999492645264,-1.7444392442703247
-2.0170812606811523,-1.763192892074585
-2.0213654041290283,-1.8478223085403442
-2.0235073566436768,-1.9056700468063354
-2.0235073566436768,-1.9449491500854492
-2.0235073566436768,-1.9711352586746216
-2.4711484909057617,-1.9885927438735962
-2.473745346069336,-2.149444580078125
-2.473745346069336,-2.257544994354248
-2.476341962814331,-2.3296117782592773
-2.473745346069336,-2.378521680831909
-2.473745346069336,-2.4102630615234375
-2.884892463684082,-2.4314239025115967
-2.884892463684082,-2.582580089569092
-2.890901565551758,-2.6833508014678955
-2.8939056396484375,-2.7525343894958496
-2.8999130725860596,-2.7996580600738525
-3.1076269149780273,-2.8330764770507812
