actual,proposed
0.0,0.043847665190696716
0.0,0.036323245614767075
0.0,0.0333881638944149
0.0,0.033396199345588684
0.0,0.030459977686405182
0.0,0.030466051772236824
0.0,0.028996774926781654
0.0,0.02605482004582882
0.0,0.02311861515045166
0.0,0.023123277351260185
0.0,0.024600407108664513
0.0,0.02755039371550083
0.0,0.02902556024491787
0.0,0.02755911275744438
0.0,0.02756461314857006
0.0,0.027568716555833817
0.0,0.02609892189502716
0.0,0.02610417827963829
0.0,0.02463405765593052
0.0,0.02169126644730568
0.0,0.018749289214611053
0.0,0.015806684270501137
0.0,0.015811359509825706
0.0,0.012868491001427174
0.0,0.009923395700752735
0.09990354627370834,0.005505293142050505
0.0964675024151802,0.15453539788722992
0.10171008110046387,0.15147538483142853
0.10679329186677933,0.15150569379329681
0.1073642298579216,0.1515331119298935
0.11220724880695343,0.15008662641048431
0.11254680156707764,0.15011528134346008
0.1171669065952301,0.1486968696117401
0.11734601855278015,0.1472499668598175
0.12169082462787628,0.14580406248569489
0.11719101667404175,0.14583180844783783
0.11269049346446991,0.1399911493062973
